provinsi,jenis,daerah,tahun,periode,gk,jenis_encoded,daerah_encoded,gk_scaled,cluster,PC1,PC2,gk_original
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,0,2,-0.06794590329463139,8,-0.467723852607406,1.2205338872012317,293697.0
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,0,2,-0.01364413303699158,8,-0.41995827404869335,1.2215373014006308,302128.0
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,0,2,0.012859459017354025,8,-0.39664486451612274,1.2220270475079165,306243.0
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,0,2,0.09997029316924329,8,-0.32001938118003104,1.2236367233526408,319768.0
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,0,0,-0.043587073367648374,0,-0.6346005871518742,-0.7244355311787516,297479.0
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,0,0,0.016041178209297336,0,-0.5821496648061784,-0.723333691698496,306737.0
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,0,0,0.07375009310770235,0,-0.5313870525554292,-0.7222673186435068,315697.0
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,0,0,0.13272783124661916,0,-0.4795083426915777,-0.7211774996630897,324854.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,0,1,-0.05049797355581674,7,-0.5465278653237123,0.24814653215844773,296406.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,0,1,0.00761026642335848,7,-0.4954139939256924,0.24922028413413,305428.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,0,1,0.05509774739946787,7,-0.45364248275105257,0.25009778062234833,312801.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,0,1,0.1243162416420079,7,-0.39275567540074,0.251376833214086,323548.0
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,0,2,0.166857244198254,8,-0.2611834740121706,1.2248726925687192,330153.0
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,0,2,0.28058760349245443,8,-0.16114260268139746,1.2269742567880275,347811.0
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,0,2,0.3061315272075297,8,-0.13867334819630023,1.2274462696826798,351777.0
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,0,2,0.3611417774471811,8,-0.09028456792468775,1.2284627755155664,360318.0
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,0,0,0.17403221419789944,0,-0.44317568282951814,-0.7204142574307631,331267.0
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,0,0,0.2693742975953425,0,-0.35930972868355393,-0.718652480607883,346070.0
ACEH,MAKANAN,PERDESAAN,2018,MARET,353915.0,0,0,0.31990180176699284,0,-0.3148641156135621,-0.717718809110518,353915.0
ACEH,MAKANAN,PERDESAAN,2018,SEPTEMBER,362463.0,0,0,0.3749571370964087,0,-0.26643567705112864,-0.7167014701736822,362463.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,MARET,330958.0,0,1,0.17204202952115757,7,-0.35077454183176116,0.2522587332517501,330958.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,346552.0,0,1,0.27247872806197543,7,-0.2624272008230355,0.254114650820891,346552.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,MARET,353291.0,0,1,0.3158827880508539,7,-0.2242475977027455,0.2549166918942808,353291.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,361835.0,0,1,0.37091236047183296,7,-0.17584182102078116,0.255933554771717,361835.0
ACEH,MAKANAN,PERKOTAAN,2019,MARET,364040.0,0,2,0.3851141637476123,8,-0.0691976881482047,1.2289057487868464,364040.0
ACEH,MAKANAN,PERKOTAAN,2019,SEPTEMBER,377620.0,0,2,0.47257923789050743,8,0.0077393960443369325,1.2305219704483146,377620.0
